symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JPM,2023-07-11 00:00:00-04:00,146.335,147.82,145.705,147.42,11265594.0,138633.0,147.043318
JPM,2023-07-12 00:00:00-04:00,147.45,149.87,147.0,148.15,11323229.0,131270.0,148.542844
JPM,2023-07-13 00:00:00-04:00,148.7,149.37,147.75,148.87,11234926.0,120323.0,148.795716
JPM,2023-07-14 00:00:00-04:00,151.55,152.89,148.41,149.77,27039667.0,267385.0,150.138397
JPM,2023-07-17 00:00:00-04:00,150.35,153.75,150.35,153.38,17262394.0,198342.0,152.675277
JPM,2023-07-18 00:00:00-04:00,153.38,154.4,152.82,153.66,13491727.0,156307.0,153.723716
JPM,2023-07-19 00:00:00-04:00,152.75,155.205,152.22,154.25,12510015.0,155017.0,154.18227
JPM,2023-07-20 00:00:00-04:00,154.53,156.59,154.41,156.15,9935909.0,128547.0,156.058657
JPM,2023-07-21 00:00:00-04:00,155.8,156.14,154.69,154.95,10636379.0,120854.0,155.325389
JPM,2023-07-24 00:00:00-04:00,154.97,158.785,154.73,158.0,14381427.0,151654.0,157.630308
JPM,2023-07-25 00:00:00-04:00,157.3,157.7198,155.96,156.82,9955989.0,114988.0,156.965191
JPM,2023-07-26 00:00:00-04:00,156.71,158.25,156.275,157.76,8728595.0,112406.0,157.390697
JPM,2023-07-27 00:00:00-04:00,157.77,158.78,155.5538,156.02,10778407.0,121642.0,156.892501
JPM,2023-07-28 00:00:00-04:00,157.28,157.6,156.4401,156.91,9105975.0,102734.0,156.939474
JPM,2023-07-31 00:00:00-04:00,157.18,159.38,157.151,157.96,8895620.0,107019.0,157.92756
JPM,2023-08-01 00:00:00-04:00,157.43,158.0,156.15,157.18,6855683.0,86484.0,156.942635
JPM,2023-08-02 00:00:00-04:00,155.56,155.69,153.94,155.4,8303709.0,106454.0,155.05631
JPM,2023-08-03 00:00:00-04:00,155.0,156.92,154.35,156.35,6087542.0,79042.0,156.147963
JPM,2023-08-04 00:00:00-04:00,156.4,157.8,155.695,156.02,6209397.0,88307.0,156.725549
JPM,2023-08-07 00:00:00-04:00,156.6,157.7,156.6,156.76,7251832.0,78496.0,156.98417
JPM,2023-08-08 00:00:00-04:00,154.32,155.98,152.59,155.88,8623387.0,109349.0,154.606432
JPM,2023-08-09 00:00:00-04:00,155.32,155.52,153.47,153.79,6277813.0,83269.0,154.322207
