series_id,year,period,value,footnote_codes
PCU2121--2121--               ,1996,M08,92.6,
PCU2121--2121--               ,1996,M09,90.9,
PCU2121--2121--               ,1996,M10,90.5,
PCU2121--2121--               ,1996,M11,91.3,
PCU2121--2121--               ,1996,M12,90.7,
PCU2121--2121--               ,1996,M13,91.4,
PCU2121--2121--               ,1997,M01,92.9,
PCU2121--2121--               ,1997,M02,91.3,
PCU2121--2121--               ,1997,M03,92.8,
PCU2121--2121--               ,1997,M04,95,
PCU2121--2121--               ,1997,M05,91.7,
PCU2121--2121--               ,1997,M06,92.6,
PCU2121--2121--               ,1997,M07,91.5,
PCU2121--2121--               ,1997,M08,91.6,
PCU2121--2121--               ,1997,M09,91.9,
PCU2121--2121--               ,1997,M10,91.3,
PCU2121--2121--               ,1997,M11,91,
PCU2121--2121--               ,1997,M12,93.2,
PCU2121--2121--               ,1997,M13,92.2,
PCU2121--2121--               ,1998,M01,88.2,
PCU2121--2121--               ,1998,M02,90.2,
PCU2121--2121--               ,1998,M03,89.7,
PCU2121--2121--               ,1998,M04,90.7,
PCU2121--2121--               ,1998,M05,90.2,
PCU2121--2121--               ,1998,M06,90.2,
PCU2121--2121--               ,1998,M07,89.9,
PCU2121--2121--               ,1998,M08,87.6,
PCU2121--2121--               ,1998,M09,87.3,
PCU2121--2121--               ,1998,M10,88.8,
PCU2121--2121--               ,1998,M11,89.6,
PCU2121--2121--               ,1998,M12,91.4,
PCU2121--2121--               ,1998,M13,89.5,
PCU2121--2121--               ,1999,M01,85.5,
PCU2121--2121--               ,1999,M02,89.2,
PCU2121--2121--               ,1999,M03,89.3,
PCU2121--2121--               ,1999,M04,89.9,
PCU2121--2121--               ,1999,M05,87.8,
PCU2121--2121--               ,1999,M06,88.2,
PCU2121--2121--               ,1999,M07,86.9,
PCU2121--2121--               ,1999,M08,86.9,
PCU2121--2121--               ,1999,M09,85.9,
PCU2121--2121--               ,1999,M10,86,
PCU2121--2121--               ,1999,M11,86.1,
PCU2121--2121--               ,1999,M12,85.4,
PCU2121--2121--               ,1999,M13,87.3,
PCU2121--2121--               ,2000,M01,85.3,
PCU2121--2121--               ,2000,M02,84.7,
PCU2121--2121--               ,2000,M03,84.8,
PCU2121--2121--               ,2000,M04,85.9,
PCU2121--2121--               ,2000,M05,86.1,
PCU2121--2121--               ,2000,M06,85.1,
PCU2121--2121--               ,2000,M07,85.6,
PCU2121--2121--               ,2000,M08,83.3,
PCU2121--2121--               ,2000,M09,83.5,
PCU2121--2121--               ,2000,M10,83.6,
PCU2121--2121--               ,2000,M11,84.1,
PCU2121--2121--               ,2000,M12,85.1,
PCU2121--2121--               ,2000,M13,84.8,
PCU2121--2121--               ,2001,M01,84.3,
PCU2121--2121--               ,2001,M02,90.1,
PCU2121--2121--               ,2001,M03,89.5,
PCU2121--2121--               ,2001,M04,90.9,
PCU2121--2121--               ,2001,M05,93.8,
PCU2121--2121--               ,2001,M06,89.6,
PCU2121--2121--               ,2001,M07,92.8,
PCU2121--2121--               ,2001,M08,92,
PCU2121--2121--               ,2001,M09,92.1,
PCU2121--2121--               ,2001,M10,92.9,
PCU2121--2121--               ,2001,M11,95.4,
PCU2121--2121--               ,2001,M12,92.5,
PCU2121--2121--               ,2001,M13,91.3,
PCU2121--2121--               ,2002,M01,95.3,
PCU2121--2121--               ,2002,M02,94.5,
PCU2121--2121--               ,2002,M03,94.6,
PCU2121--2121--               ,2002,M04,94.4,
PCU2121--2121--               ,2002,M05,94.4,
PCU2121--2121--               ,2002,M06,93.7,
PCU2121--2121--               ,2002,M07,93.9,
PCU2121--2121--               ,2002,M08,93.4,
PCU2121--2121--               ,2002,M09,92.8,
PCU2121--2121--               ,2002,M10,93.4,
PCU2121--2121--               ,2002,M11,93.6,
PCU2121--2121--               ,2002,M12,93.1,
PCU2121--2121--               ,2002,M13,93.9,
PCU2121--2121--               ,2003,M01,93.2,
PCU2121--2121--               ,2003,M02,93.4,
PCU2121--2121--               ,2003,M03,93.7,
PCU2121--2121--               ,2003,M04,94.8,
PCU2121--2121--               ,2003,M05,94.6,
PCU2121--2121--               ,2003,M06,94.4,
PCU2121--2121--               ,2003,M07,94,
PCU2121--2121--               ,2003,M08,94.1,
PCU2121--2121--               ,2003,M09,94.7,
PCU2121--2121--               ,2003,M10,95,
PCU2121--2121--               ,2003,M11,95.2,
PCU2121--2121--               ,2003,M12,95.8,
PCU2121--2121--               ,2003,M13,94.4,
PCU2121--2121--               ,2004,M01,99.8,
PCU2121--2121--               ,2004,M02,100.9,
PCU2121--2121--               ,2004,M03,101.3,
PCU2121--2121--               ,2004,M04,103.1,
PCU2121--2121--               ,2004,M05,103.5,
PCU2121--2121--               ,2004,M06,103.8,
PCU2121--2121--               ,2004,M07,104.4,
PCU2121--2121--               ,2004,M08,104.6,
